Area of Residence,Total Original Medicare Part A Enrollees,Total Persons With Utilization,Total Discharges,"Discharges Per 1,000 Original Medicare Part A Enrollees","Discharges Per 1,000 Persons With Utilization",Total Days of Care,"Total Days of Care Per 1,000 Original Medicare Part A Enrollees",Total Days of Care Per Person With Utilization,Total Days of Care Per Discharge,Covered Days of Care,"Covered Days of Care Per 1,000 Original Medicare Part A Enrollees",Covered Days of Care Per Person With Utilization,Covered Days of Care Per Discharge,Total Program Payments,Program Payments Per Original Medicare Part A Enrollee,Program Payments Per Person With Utilization,Program Payments Per Discharge,Program Payments Per Covered Day,Total Deductible Payments,Total Coinsurance Payments,Discharged Dead,,,,,,,,,
All Areas,"36,051,507","5,148,864","8,349,295",232,"1,622","53,089,632","1,473",10.31,6.36,"49,473,995","1,372",9.61,5.93,"$131,317,482,538","$3,642","$25,504","$15,728","$2,654","$8,296,339,184","$975,789,695","373,254",,,,,,,,,
United States,"35,377,335","5,131,935","8,323,869",235,"1,622","52,890,901","1,495",10.31,6.35,"49,282,747","1,393",9.60,5.92,"130,949,164,073","3,701","25,517","15,732","2,657","8,269,094,908","972,675,174","371,151",,,,,,,,,
Alabama,"522,820","85,519","137,649",263,"1,610","920,947","1,761",10.77,6.69,"871,885","1,668",10.20,6.33,"$1,803,893,964","$3,450","$21,093","$13,105","$2,069","$138,721,673","$15,467,837","7,550",,,,,,,,,
Alaska,"105,399","12,156","17,778",169,"1,462","123,359","1,170",10.15,6.94,"114,277","1,084",9.40,6.43,"400,916,636","3,804","32,981","22,551","3,508","19,710,913","2,364,716","1,200",,,,,,,,,
Arizona,"757,650","96,827","149,645",198,"1,545","877,651","1,158",9.06,5.86,"839,661","1,108",8.67,5.61,"2,286,578,752","3,018","23,615","15,280","2,723","153,672,264","9,993,328","6,737",,,,,,,,,
Arkansas,"429,009","66,031","111,272",259,"1,685","712,732","1,661",10.79,6.41,"667,998","1,557",10.12,6.00,"1,413,999,339","3,296","21,414","12,708","2,117","106,716,443","9,190,852","4,688",,,,,,,,,
California,"3,311,257","421,586","679,674",205,"1,612","4,259,585","1,286",10.10,6.27,"4,006,704","1,210",9.50,5.90,"14,146,552,645","4,272","33,556","20,814","3,531","670,735,634","93,917,274","35,040",,,,,,,,,
Colorado,"510,771","59,623","89,081",174,"1,494","513,578","1,005",8.61,5.77,"489,942",959,8.22,5.50,"1,451,738,065","2,842","24,349","16,297","2,963","95,060,371","8,141,238","3,721",,,,,,,,,
Connecticut,"361,543","55,051","88,506",245,"1,608","626,529","1,733",11.38,7.08,"538,333","1,489",9.78,6.08,"1,517,602,606","4,198","27,567","17,147","2,819","88,404,030","14,253,068","3,690",,,,,,,,,
Delaware,"170,321","24,266","39,373",231,"1,623","277,589","1,630",11.44,7.05,"264,019","1,550",10.88,6.71,"653,678,167","3,838","26,938","16,602","2,476","38,909,323","6,385,567","1,475",,,,,,,,,
